Station Id,Station,Pr�c�dent,Suivant,Temps entre 2 stations,Temps de Changement,Column1,_1,Longitude d�part,Latitude d�part ,_2,Longitude arriv�e,Latitude arriv�e,_3,Distance,temps en secondes,temps en minutes,moyenne en minute
242,Jussieu,,243,,,,,2354931672,4884619789,,2351328002,4884670003,,2695452939,462341842,770569737,
243,Cardinal Lemoine,,244,,,,,2351328002,4884670003,,2348280413,4885019547,,4481035675,7686167539,1281027923,
244,Maubert - Mutualité,,245,,,,,2348280413,4885019547,,2344896301,4885102688,,264307541,4533577033,755596172,
245,Cluny - La Sorbonne,,246,,,,,2344896301,4885102688,,2340692291,4885202455,,3269908596,5608762601,934793767,
246,Odéon,,247,,,,,2340692291,4885202455,,2335142819,4885284374,,4161266165,7137677813,1189612969,
247,Mabillon,,248,,,,,2335142819,4885284374,,2326859663,4885156531,,6224995759,1067752274,1779587124,
248,Sèvres - Babylone,,249,,,,,2326859663,4885156531,,2321351242,4884889457,,5006406445,8587318088,1431219681,
249,Vaneau,,250,,,,,2321351242,4884889457,,2316521219,4884700989,,4108876882,7047816264,1174636044,
250,Duroc,,251,,,,,2316521219,4884700989,,2307137849,4884716727,,6868430171,1178118383,1963530638,
251,Ségur,,252,,,,,2307137849,4884716727,,2298525726,488496308,,6871322584,1178614508,1964357514,
252,La Motte-Picquet - Grenelle,,253,,,,,2298525726,488496308,,2295018997,4884703801,,3859547613,662015028,110335838,
